protected,verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days
0,0,1,220,0,2587,1,13,0,1,8,0,1,0,1,0,1,3765
0,0,1,0,0,14,1,8,0,0,17,0,0,0,0,0,1,3753
0,0,1,19,0,174,1,10,0,1,18,0,1,0,0,0,1,3758
0,0,1,300,2477,829,1,13,0,0,10,0,0,0,0,0,1,3754
0,0,1,5,0,117,1,6,0,1,15,0,0,0,0,0,1,3734
0,0,1,8,0,15,1,7,0,0,10,0,0,0,0,0,1,3732
0,0,1,16,40,81,1,11,0,0,15,0,0,0,0,0,1,3715
0,0,1,155,0,1710,1,13,1,1,10,0,0,2,0,0,1,3724
0,0,1,1,0,16,1,13,0,1,5,0,0,0,0,0,1,3720
0,0,1,388,0,66,1,14,0,0,14,0,0,0,0,0,0,3717
0,0,1,31,0,59,1,13,1,1,2,0,0,0,0,0,1,3722
0,0,1,139,2836,284,1,10,0,1,15,0,1,0,0,0,1,3718
0,0,1,0,0,9,1,15,0,1,16,1,1,0,0,0,1,3701
0,0,1,4,0,132,1,11,0,0,11,0,1,0,0,0,0,3689
0,0,1,2,0,11,1,8,0,1,15,0,0,0,0,0,1,3695
0,0,1,1,0,14,1,9,0,1,10,0,0,0,0,0,1,3683
0,0,1,1,0,24,1,15,0,0,18,0,0,0,0,0,1,3682
0,0,1,8,1212,16,1,12,0,0,14,0,0,0,0,0,1,3674
0,0,1,2,0,7,1,7,0,0,17,0,1,0,0,0,1,3682
0,0,1,4,0,10,1,12,1,0,16,0,0,0,0,0,1,3669
0,0,1,0,0,11,1,15,0,0,11,0,0,0,0,0,0,3663
0,0,1,30,0,197,1,13,1,1,18,0,1,0,0,0,1,3668
0,0,1,78,0,83,1,9,0,1,13,0,1,0,0,1,0,3653
0,0,1,1,0,107,1,10,0,0,20,0,0,0,0,0,0,3651
0,0,1,43,0,166,1,12,0,1,7,0,1,1,0,0,1,3648
0,0,1,6,0,62,1,10,0,0,7,0,0,0,0,0,1,3642
0,0,1,29,746,154,1,12,0,0,5,0,0,0,0,0,1,3657
0,0,1,10,0,62,1,9,0,1,13,0,1,0,0,0,1,3633
0,0,1,14,0,776,1,9,1,0,17,0,1,0,0,0,0,3628
0,0,1,135,0,2787,1,7,0,0,11,0,1,0,0,0,1,3603
0,0,1,122,0,338,1,15,0,0,16,0,0,0,0,0,1,3604
0,0,1,29,0,73,1,13,0,1,7,0,1,0,0,0,1,3599
0,0,1,6,0,89,1,9,0,0,1,0,0,0,0,0,1,3600
0,0,1,1,0,8,1,15,1,1,15,0,1,0,0,0,0,3591
0,0,1,6,0,20,1,9,0,0,9,0,0,0,0,0,1,3587
0,0,1,5,0,17,1,12,0,0,13,0,0,0,0,0,1,3577
0,0,1,24,0,802,1,11,1,0,10,1,0,1,0,0,1,3581
0,0,1,180,0,4108,1,14,1,1,8,0,1,0,0,0,1,3576
0,0,1,19,0,100,1,11,0,0,11,0,0,0,0,0,1,3564
0,0,1,14,0,1569,1,10,0,0,7,1,0,0,0,0,1,3562
0,0,1,44,0,35,1,14,0,0,15,0,0,0,0,0,1,3513
0,0,1,9,0,106,1,12,0,0,6,0,0,0,0,0,1,3527
0,0,1,1,0,6,1,10,0,0,12,0,0,0,0,0,1,3511
0,0,1,2,0,17,1,11,0,0,9,0,1,0,0,0,1,3505
0,0,1,2,0,105,1,12,1,0,16,0,1,0,0,0,1,3510
0,0,1,3,0,11,1,14,0,1,12,0,1,0,0,0,1,3504
0,0,1,4,0,8,1,9,0,1,8,0,1,0,0,0,1,3495
0,0,1,12,0,70,1,12,0,1,5,0,1,0,0,0,1,3493
0,0,1,2,0,21,1,8,1,0,14,0,0,0,0,0,0,3484
0,0,1,2,0,6,1,12,0,0,12,0,0,0,0,0,1,3467
0,0,1,4,0,121,1,12,0,0,12,0,0,0,0,0,1,3441
0,0,1,8,0,40,1,11,0,0,15,0,1,0,0,1,1,3466
0,0,1,15,0,151,1,14,0,1,18,1,1,0,0,0,1,3449
0,0,1,8,56,59,1,10,0,0,15,0,1,0,0,0,1,3442
0,0,1,172,0,143,1,5,0,0,10,0,1,0,0,0,1,3388
0,0,1,3,0,12,1,13,0,0,9,0,0,0,0,0,1,3408
0,0,1,298,0,1657,1,14,0,0,14,0,1,1,0,0,0,3423
0,0,1,9,0,58,1,12,0,1,16,0,1,0,0,0,1,3422
0,0,1,3,0,20,1,13,0,0,5,0,0,0,0,0,1,3420
0,0,1,1,0,27,1,12,0,1,16,0,1,0,0,0,1,3370
0,0,1,56,1095,436,1,12,0,0,12,0,1,0,0,0,1,3376
0,0,1,15,0,94,1,12,0,1,3,0,1,1,0,0,0,3344
0,0,1,1,0,16,1,10,0,0,6,0,0,0,0,0,1,3339
0,0,1,27,0,101,1,13,1,0,6,0,1,0,0,0,1,3302
0,0,1,4,0,8,1,11,0,1,14,0,1,0,0,0,1,3305
0,0,1,4,0,18,1,11,0,1,4,0,0,0,0,0,1,3278
0,0,1,38,449,560,1,15,0,0,10,0,0,0,0,0,1,3289
0,0,1,7,0,7,1,15,0,1,17,0,1,0,0,0,1,3271
0,0,1,3,0,2,1,10,0,1,5,0,0,0,0,0,1,3297
0,0,1,49,251,150,1,10,0,1,17,0,1,0,0,0,1,3249
0,0,1,16,1549,420,1,9,0,0,17,0,0,0,0,0,1,3204
0,0,1,1,2019,11,1,11,0,0,14,0,1,0,0,0,1,3231
0,0,1,0,140,29,1,10,0,0,5,0,0,0,0,0,1,3222
0,0,1,17,0,82,1,6,1,1,3,0,1,0,0,0,0,3261
0,0,1,1,0,54,1,8,0,1,4,0,0,0,0,0,1,3226
0,0,1,16,0,95,1,13,0,1,9,0,1,0,0,0,0,3221
0,0,1,8,0,423,1,12,0,1,11,0,0,0,0,0,1,3209
0,0,1,3,0,47,1,11,1,1,7,0,1,0,0,0,1,3152
